Year ,DomesticDebt_adjust
1990-03-31,13507.410335661743
1990-06-30,14167.597437786735
1990-09-30,14827.794084536425
1990-12-31,15487.998142015096
1991-03-31,16148.210335661744
1991-06-30,15998.697437786735
1991-09-30,15849.194084536426
1991-12-31,15699.698142015097
1992-03-31,15550.210335661744
1992-06-30,17722.522437786734
1992-09-30,19894.844084536424
1992-12-31,22067.173142015097
1993-03-31,24239.510335661744
1993-06-30,27603.34743778673
1993-09-30,30967.194084536426
1993-12-31,34331.0481420151
1994-03-31,37694.91033566174
1994-06-30,36763.97243778673
1994-09-30,35833.04408453643
1994-12-31,34902.123142015094
1995-03-31,33971.21033566174
1995-06-30,37916.64743778673
1995-09-30,41862.094084536424
1995-12-31,45807.5481420151
1996-03-31,49753.01033566174
1996-06-30,44883.24743778673
1996-09-30,40013.494084536425
1996-12-31,35143.748142015094
1997-03-31,30274.010335661744
1997-06-30,40545.69743778673
1997-09-30,50817.39408453643
1997-12-31,61089.0981420151
1998-03-31,71360.81033566175
1998-06-30,72239.29743778674
1998-09-30,73117.79408453644
1998-12-31,73996.2981420151
1999-03-31,74874.81033566175
1999-06-30,85780.84743778674
1999-09-30,96686.89408453643
1999-12-31,107592.9481420151
2000-03-31,118499.01033566175
2000-06-30,119772.74743778673
2000-09-30,121046.49408453643
2000-12-31,122320.2481420151
2001-03-31,123594.01033566175
2001-06-30,124282.99743778673
2001-09-30,124971.99408453643
2001-12-31,125660.9981420151
2002-03-31,126350.01033566175
2002-06-30,114739.99743778673
2002-09-30,103129.99408453643
2002-12-31,91519.9981420151
2003-03-31,79910.01033566175
2003-06-30,89243.04743778674
2003-09-30,98576.09408453644
2003-12-31,107909.1481420151
2004-03-31,117242.21033566174
2004-06-30,118832.39743778673
2004-09-30,120422.59408453644
2004-12-31,122012.7981420151
2005-03-31,123603.01033566175
2005-06-30,133653.12243778675
2005-09-30,143703.24408453642
2005-12-31,153753.3731420151
2006-03-31,163803.51033566173
2006-06-30,159136.69743778676
2006-09-30,154469.8940845364
2006-12-31,149803.09814201508
2007-03-31,145136.31033566172
2007-06-30,187423.72243778672
2007-09-30,229711.1440845364
2007-12-31,271998.5731420151
2008-03-31,314286.01033566176
2008-06-30,297102.7474377867
2008-09-30,279919.49408453645
2008-12-31,262736.2481420151
2009-03-31,245553.01033566173
2009-06-30,234721.74743778675
2009-09-30,223890.49408453642
2009-12-31,213059.2481420151
2010-03-31,202228.01033566173
2010-06-30,209476.74743778675
2010-09-30,216725.49408453642
2010-12-31,223974.2481420151
2011-03-31,231223.01033566173
2011-06-30,224044.74743778675
2011-09-30,216866.49408453642
2011-12-31,209688.2481420151
2012-03-31,202510.01033566173
2012-06-30,249979.74743778675
2012-09-30,297449.49408453645
2012-12-31,344919.2481420151
2013-03-31,392389.01033566176
2013-06-30,388971.7474377867
2013-09-30,385554.49408453645
2013-12-31,382137.2481420151
2014-03-31,378720.01033566176
2014-06-30,432214.5283627867
2014-09-30,485709.05593453645
2014-12-31,539203.5909170151
2015-03-31,592698.1340356617
2015-06-30,506626.1003877867
2015-09-30,420554.07628453645
2015-12-31,334482.0595920151
2016-03-31,248410.05103566175
2016-06-30,259870.02661278675
2016-09-30,271330.01173453644
2016-12-31,282790.004267015
2017-03-31,294250.00493566174
2017-06-30,329995.7019877867
2017-09-30,365741.4085845364
2017-12-31,401487.1225920151
2018-03-31,437232.84473566175
2018-06-30,552036.3732377868
2018-09-30,666839.9112845365
2018-12-31,781643.4567420151
2019-03-31,896447.0103356617
2019-06-30,1110056.7474377868
2019-09-30,1323666.4940845363
2019-12-31,1537276.2481420152
2020-03-31,1750886.0103356617
2020-06-30,1831120.7474377868
2020-09-30,1911355.4940845363
2020-12-31,1991590.2481420152
2021-03-31,2071825.0103356617
